,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader
0,100,Benedictine College,English,3.1,George Nicholas,3.4,21,N/A,1,,1,,,,2,,,,1,,1,,,,1,,,1
1,100,Benedictine College,Political Science,2.7,"John F Settich, PhD",3.9,21,N/A,,1,,1,1,,,,1,,,,3,,1,2,,3,,
2,100,Benedictine College,Philosophy,4.3,Jean Rioux,3.7,20,N/A,,,1,,1,,,1,,,,,,,,1,,,1,2
3,100,Benedictine College,Religion,3.8,Mark Zia,3.4,19,N/A,,2,6,1,,,,2,,,1,1,4,,,2,,1,,10
4,100,Benedictine College,Philosophy,4.2,Lloyd Newton,3.2,15,N/A,,1,1,1,,,3,,,,,,,,,,,,1,2
5,100,Benedictine College,History,3.3,Everett Dague,5.0,15,N/A,,,,,,,,,,,,,,,,,,,,
6,100,Benedictine College,Psychology,3.9,Giovanni Misceo,3.3,13,N/A,,,,,,1,2,,,,,,2,1,,,,,,3
7,100,Benedictine College,Economics,4.5,Rick Coronado,4.3,12,N/A,1,,,1,,,,1,,,,,1,2,,1,1,,,
8,100,Benedictine College,Religion,3.0,Andy Swafford,4.2,12,N/A,,1,1,1,1,,,2,1,,,1,,,,2,,,,1
9,100,Benedictine College,Religion,3.9,Jeremy Sienkiewicz,4.3,12,82%,2,5,2,1,,,6,1,,,1,2,3,,,3,4,,1,3
10,100,Benedictine College,Mathematics,4.5,Heidi Hulsizer,1.5,12,17%,,,,,,,,,,,,,5,4,,,2,,4,7
11,100,Benedictine College,Political Science,3.4,Frank Kessler,3.7,11,N/A,,,,,,,,1,1,,,1,,,,1,,,,
12,100,Benedictine College,English,4.0,Michael Stigman,3.0,11,N/A,,,2,,,,2,,,,,,,,3,,,,,2
13,100,Benedictine College,Business,2.8,Jan Hansen,3.6,9,N/A,1,,,1,1,,,,,1,1,,,1,,,,,,
14,100,Benedictine College,Religion,4.1,Benjamin Blosser,3.5,9,50%,,3,1,,1,,2,,,,3,,2,,2,,,,,4
15,100,Benedictine College,Theology,2.9,Richard White,4.4,8,N/A,,1,3,,,,2,,,,,,2,1,,,,,1,1
16,100,Benedictine College,Languages,2.9,Daphne McConnell,4.0,8,N/A,1,,,1,,,1,,,,1,1,,,1,,,,,
17,100,Benedictine College,Criminal Justice,3.3,Kevin Bryant,4.2,8,N/A,,1,,,,,,1,1,,2,,1,,1,,,1,,1
18,100,Benedictine College,Communication,2.5,Kevin Page,4.8,8,N/A,,,,1,,,,2,,,,,,,1,3,,,,
19,100,Benedictine College,History,3.0,Mark Van De Logt,4.7,8,N/A,,,,,,,,,,,,,,,,,,,,
20,101,Bennett College for Women,Mathematics,2.1,Eric Cole,3.7,8,N/A,,,,,,,,,,,,,,,,,,,,
21,101,Bennett College for Women,Philosophy,2.5,Ruth Lucier,1.3,4,N/A,1,,,,,,,,1,,,,,,,,,1,,
22,101,Bennett College for Women,Physical Ed,1.0,Joyce Spruill,3.8,4,N/A,,,,,,,,,,,,,,,,,,,,
23,101,Bennett College for Women,Psychology,3.3,Aurdrey Cambell,4.0,3,N/A,,,,,,,,,,,,,,,,,,,,
24,101,Bennett College for Women,Psychology,3.7,Alan Goble,4.0,3,N/A,,,,,,,,,,,,,,,,,,,,
25,101,Bennett College for Women,English,4.3,Giselle Jones,5.0,3,N/A,,,,,,,,,,,,,,,,,,,,
26,101,Bennett College for Women,Chemistry,4.3,Susan Curtis,2.7,3,N/A,,,,,,,2,,,,,,,1,,,1,,,2
27,101,Bennett College for Women,Psychology,3.7,Santiba Campbell,3.7,3,N/A,,1,,,,,1,2,,,,,,,,2,,,,
28,101,Bennett College for Women,Chemistry,3.0,Lisa Price,2.5,2,N/A,,,,,,,,1,,,,1,,,1,,,,,
29,101,Bennett College for Women,English,3.5,Sheila Cooper,3.8,2,N/A,,,,,,,,,,,,,,,,,,,,
30,101,Bennett College for Women,Computer Science,3.0,Suhaib Obeidat,4.8,2,N/A,,1,,1,,,,,,,,,,,,,,,,
31,101,Bennett College for Women,Fine Arts,3.0,Harry Swartz-Turfle,3.8,2,N/A,,,1,,,,,1,,,,,,,,,,,,
32,101,Bennett College for Women,Journalism,3.5,Keonte c Coleman,5.0,2,N/A,,1,,1,,,,,,,,,,,,1,,,,
33,101,Bennett College for Women,Mathematics,5.0,Ajanta Roy,1.0,2,N/A,,,,,,,,,1,,,,1,,,,,,1,2
34,101,Bennett College for Women,Mathematics,1.0,Mary Cook-Murdock,4.5,1,N/A,,,,,,,,,,,,,,,,,,,,
35,101,Bennett College for Women,Languages,3.0,Bethanie Lister,5.0,1,N/A,,,,1,,,,1,,,1,,,,,,,,,
36,102,Bennington College,Biology,3.3,Betsy Sherman,3.0,30,N/A,,,1,,,,,,,,1,,,,,,1,,,
37,102,Bennington College,Literature,4.2,Marguerite Feitlowitz,3.7,20,N/A,,,,,,,1,,,,,,,1,,,,,,1
38,102,Bennington College,Psychology,3.1,David Anderegg,4.2,20,N/A,,1,,,,,,,,,,1,1,,,,,,,
39,102,Bennington College,History,3.3,Eileen Scully,4.2,16,N/A,,,,,,,,1,,,,1,,,1,,,,,
40,102,Bennington College,Philosophy,3.7,Paul Voice,4.0,15,N/A,,,,,,,1,,,,,,,1,,1,,,,
41,102,Bennington College,Theater,2.6,Kirk Jackson,3.3,14,N/A,,,,,,,,,,,,,,,,,,,,
42,102,Bennington College,Literature,3.9,Annabel Davis-Goff,3.2,14,N/A,,,1,,,,,,,,,,2,,,,,,2,1
43,102,Bennington College,Mathematics,3.2,Glen Van Brummelen,4.9,13,N/A,,,,,,,,,,,,,,,,,,,,
44,102,Bennington College,Chemistry,4.3,Janet Foley,3.1,13,N/A,,,,,,,,,,,,,,,,,1,,,
45,102,Bennington College,Chemistry,3.4,John Bullock,3.8,12,N/A,,,,,,,,,,,,,,,,,,,,
46,102,Bennington College,Theater,2.6,Daniel Michealson,3.0,11,N/A,,,,,,,,,,,,,,,,,,,,
47,102,Bennington College,Music,3.1,Kitty Brazelton,4.2,11,N/A,,,,,,,,1,,1,,,,,,,,,,
48,102,Bennington College,Social Science,4.0,Ron Cohen,4.5,10,N/A,,1,,,,,,1,,,,1,,,,,,,,
49,102,Bennington College,Music,3.2,Milford Graves,3.0,10,N/A,,,,,,,,,,,,,,,,,,,,
50,102,Bennington College,Literature,3.1,Rebecca Godwin,4.0,10,N/A,,,,,,,,,,,,,,,,,,,,
51,102,Bennington College,Biology,3.5,Kerry Woods,4.0,10,N/A,,,,2,,,,2,1,,,,,,,1,,,,
52,102,Bennington College,Fine Arts,3.4,Jonathan Kline,3.5,9,N/A,,,,,,,,1,,,,,,1,,,,,,1
53,102,Bennington College,Music,2.4,Allen Shawn,4.8,9,N/A,,,,,,,,,,,,,,,,,,,,
54,102,Bennington College,Anthropology,3.0,Miroslava Prazak,3.4,8,N/A,,,,,,,,,,,,,,,,,,,,
55,102,Bennington College,Fine Arts,2.8,Ann Pibal,3.5,8,N/A,,,,,,,,,1,,,,,,2,1,1,,,
56,103,Bentley University,Law,3.2,David Missirian,4.3,106,90%,2,9,,2,2,,2,3,1,,14,5,1,,1,12,8,,1,9
57,103,Bentley University,Mathematics,3.2,Pete Ciccarelli,4.3,102,87%,6,4,,7,4,,,6,1,,4,1,3,11,,6,7,,1,14
58,103,Bentley University,Psychology,2.8,Ron Evans,3.0,97,N/A,,1,,1,,,,1,,,3,1,,,11,1,3,,,2
59,103,Bentley University,Accounting,3.1,Charles Malgwi,2.9,97,35%,1,,,7,1,1,3,2,2,3,5,2,5,5,1,4,1,,2,4
60,103,Bentley University,Management,2.4,Adam Payne,4.6,94,100%,,11,10,23,1,1,1,10,,9,11,49,,,10,30,5,,,
61,103,Bentley University,Accounting,3.7,Michael Haselkorn,3.2,92,47%,3,1,,2,3,,2,,2,1,7,3,1,1,4,2,7,,4,12
62,103,Bentley University,Science,3.6,George Fishman,3.8,91,50%,2,9,,6,1,,3,1,,2,2,8,7,3,7,3,5,2,1,8
63,103,Bentley University,Law,3.1,John Hayward,3.4,89,73%,,,,1,1,4,4,1,1,2,5,,7,,1,4,5,,,2
64,103,Bentley University,Accounting,3.3,Stephen O'Leary,4.0,86,70%,4,5,,9,2,,2,2,1,2,21,6,,2,9,17,12,,2,12
65,103,Bentley University,Economics,3.1,Bryan Snyder,4.2,83,50%,,4,,5,,,6,1,2,,7,2,4,2,,10,2,6,3,4
66,103,Bentley University,Computer Information Systems,2.7,Bill VanderClock,3.2,76,59%,5,1,,2,6,1,,2,,1,3,2,3,6,7,1,5,,,9
67,103,Bentley University,Finance,2.8,Laura Willett,3.9,76,80%,5,1,,4,4,,3,3,2,2,,,4,2,1,12,3,,,4
68,103,Bentley University,Business,2.9,Stephen Lichtenstein,3.7,76,71%,,2,,,,12,6,,,5,2,,3,,18,4,1,,,10
69,103,Bentley University,Accounting,3.7,Karen Osterheld,3.3,75,67%,5,1,,4,3,,5,3,3,1,,1,2,1,4,5,4,2,1,10
70,103,Bentley University,Business,3.2,Jerry Leabman,2.5,74,56%,1,,,1,1,,1,1,4,,,,6,1,,,1,,3,5
71,103,Bentley University,Mathematics,4.2,Emily Roth,3.2,73,N/A,2,2,,2,,,1,3,,,,1,,4,,4,,,,6
72,103,Bentley University,Mathematics,3.0,Karen Schroeder,2.9,72,N/A,,,,,,,,,,,,,,,,,,,,
73,103,Bentley University,Accounting,2.8,Alan Freed,3.4,70,72%,2,3,,5,4,,3,3,3,1,5,,4,1,1,2,2,,4,8
74,103,Bentley University,Computer Science,2.3,Mark Frydenberg,3.3,69,36%,1,,,,1,1,,1,1,5,,,,,,1,1,,,
75,103,Bentley University,Computer Science,2.3,Paul Montesino,2.2,68,N/A,,,,,,,,,,,,,,,,,,,,
76,104,Berea College,Languages,3.8,John Carlevale,3.7,33,N/A,,,,,1,,,1,,,,,,1,1,1,2,,,2
77,104,Berea College,Communication,3.8,Billy Wooten,4.7,29,N/A,,2,,7,,,,1,,2,1,4,,,1,6,,,,1
78,104,Berea College,Spanish,4.0,Fred de Rosset,4.5,25,N/A,,1,,,,,,1,,,,,,,,1,,,,
79,104,Berea College,Science,4.6,Sarah Blank,4.3,24,N/A,,1,,,,,,,,,,2,3,,,3,4,,1,4
80,104,Berea College,History,2.7,Katherine Christensen,3.6,24,N/A,1,,,,,,4,,1,,,,4,,,1,,,,
81,104,Berea College,Psychology,3.4,Wayne Messer,3.9,23,N/A,,,,,,,1,,,,1,1,,,,,,,,
82,104,Berea College,Theater,3.4,Adanma Barton,4.4,23,N/A,,,,1,,,,,,,1,1,,,,,,,,
83,104,Berea College,History,3.1,Steve Pulsford,4.0,22,100%,1,1,1,3,,,4,3,,,1,1,1,2,3,2,1,1,,4
84,104,Berea College,Biology,4.4,Dawn Anderson,3.4,22,N/A,1,,,,1,,,,1,,,,1,,,2,4,,,4
85,104,Berea College,Languages,3.0,Richard Meadows,2.2,22,N/A,,,,2,,,1,,,,,,4,3,,,2,2,1,5
86,104,Berea College,Political Science,3.3,Mike Berheide,4.5,20,N/A,,,,,,,,1,1,,1,,,,1,2,,,,
87,104,Berea College,Computer Science,2.9,Jan Pearce,3.2,20,N/A,,,,,,,,,,2,,,,1,1,,1,,,3
88,104,Berea College,Education,4.2,Andrew Baskin,3.9,20,N/A,,,,2,,,,,,,,1,,,,,,,,2
89,104,Berea College,Religion,3.5,Jeffrey Richey,3.9,19,N/A,,1,,,1,,3,,,,,,1,1,,1,,,,
90,104,Berea College,General Studies,1.9,Jason Strange,4.8,19,100%,,1,,3,1,,3,3,,,6,4,,3,1,6,1,,,
91,104,Berea College,Psychology,3.3,Robert Smith,4.6,18,N/A,,,,1,,,1,1,,,,,,,,,,,,
92,104,Berea College,Philosophy,3.0,James Butler,4.4,17,N/A,,,,,,,1,1,,,2,1,,,,1,,,,
93,104,Berea College,Theater,2.1,Shan Ayers,3.6,17,N/A,,,,,,,,,,,,,,,,,,,,
94,104,Berea College,Business,3.9,Ed McCormack,3.8,17,N/A,,,,,,,1,1,,,,,1,3,2,,3,,1,1
95,104,Berea College,Theology,3.6,Duane Smith,4.3,17,N/A,1,1,,1,,,,,,,,,,,,,,,,
96,105,Berklee College of Music,Liberal Arts & Sciences,3.1,Teodros Kiros,4.6,242,98%,1,36,,20,,,52,11,8,,7,49,1,2,60,37,16,,,
97,105,Berklee College of Music,Ear Training,2.3,Scott Deogburn,5.0,123,100%,9,11,,21,11,7,3,18,,,31,40,,,4,35,,,,
98,105,Berklee College of Music,Guitar,2.7,G. Andrew Maness,4.8,116,100%,10,9,,27,14,7,,42,2,,13,10,,2,8,27,5,,,
99,105,Berklee College of Music,Contemporary Music Writing,3.3,Renato Milone,4.3,100,88%,37,11,2,36,1,2,1,60,,,3,32,,14,22,17,2,,,2
100,105,Berklee College of Music,Composition,2.8,Carmen Moral,3.7,96,63%,4,2,,3,4,,,8,2,,3,6,,,6,7,4,,1,6
101,105,Berklee College of Music,Harmony,2.4,Danny Harrington,4.3,71,83%,,1,,2,3,,,2,,,14,1,,1,1,6,,,,
102,105,Berklee College of Music,Harmony,3.2,Daniel Ian Smith,4.6,70,91%,,7,,6,,,,3,1,,4,9,1,1,,5,,,,2
103,105,Berklee College of Music,Ear Training,3.2,Paul Stiller,4.9,68,100%,1,1,,5,,,,11,,,10,4,,1,1,10,1,,,3
104,105,Berklee College of Music,Art History,2.1,Ross Bresler,4.9,67,100%,1,12,,3,,,,3,,,10,10,,,,10,,,,
105,105,Berklee College of Music,Contemporary Music Writing,3.6,Michael Farquharson,3.7,65,90%,1,,,9,,,,3,3,,7,3,1,2,1,3,4,,,1
106,105,Berklee College of Music,Harmony,4.1,Lucy Holstedt,1.6,65,N/A,,,,,,,,1,,,,,3,12,1,,1,5,2,8
107,105,Berklee College of Music,Ear Training,2.4,Mark Shilansky,4.2,64,80%,1,,,3,,1,,2,,,10,3,,2,3,4,1,,1,
108,105,Berklee College of Music,Harmony,4.0,Steve Rochinski,3.3,63,N/A,,5,,,,,,1,,,,5,1,,1,4,4,,,5
109,105,Berklee College of Music,Ear Training,4.2,Catherine Bent,3.4,62,88%,8,,,13,20,,3,17,,2,,15,,15,8,6,5,,2,9
110,105,Berklee College of Music,Ear Training,3.1,Brian Lewis,3.9,61,86%,,,1,2,6,3,,2,,,6,1,,2,5,1,,,,1
111,105,Berklee College of Music,Songwriting,2.7,Ben Camp,4.6,60,85%,4,14,,11,,,,30,,2,20,21,1,3,11,14,,,,
112,105,Berklee College of Music,English,4.1,Sally Blazar,2.5,58,14%,,,7,1,,1,13,1,,,,,,8,2,,4,4,,12
113,105,Berklee College of Music,Guitar,3.7,Lauren Passarelli,4.2,56,91%,,4,,12,,,1,15,1,,5,20,2,1,5,12,,,,
114,105,Berklee College of Music,Piano,3.7,Jeff Covell,3.6,55,N/A,,,,3,,,2,6,,,,6,,19,5,3,1,1,,5
115,105,Berklee College of Music,Composition,4.2,Skip Witmyer,2.5,54,43%,,1,,1,1,,,2,,,,,5,6,1,,4,1,,9
116,106,Berry College,Political Science,2.9,John Hickman,4.2,79,100%,,4,,,,,10,3,1,,5,,2,1,4,2,3,,,2
117,106,Berry College,History,4.2,Larry Marvin,3.9,73,13%,,5,,1,1,,,2,1,,,,6,,2,2,13,1,1,17
118,106,Berry College,Mathematics,3.6,Martha Tapia,1.9,73,13%,,,4,,,7,7,,4,,1,,1,4,1,,8,,1,10
119,106,Berry College,History,2.7,John Atkins,4.5,60,40%,,,,1,,,2,1,,,,,5,,,,4,,,
120,106,Berry College,Political Science,3.0,Michael Bailey,4.5,58,N/A,1,,,1,1,,,1,1,,2,,2,1,,1,1,1,,2
121,106,Berry College,Mathematics,3.8,Eric McDowell,3.6,56,N/A,,1,,,,,,,2,,,,,,,,5,,1,5
122,106,Berry College,Animal Science,3.7,George Gallagher,4.5,56,82%,2,3,,2,,,,3,,,8,2,,,,6,1,,1,7
123,106,Berry College,Religion,2.9,Jeffrey Lidke,3.9,55,N/A,1,1,,,,,2,,,1,,2,,,1,1,2,,1,
124,106,Berry College,Writing,3.9,Chris Diller,3.0,53,N/A,1,,,,,,,1,,,,,,2,1,,,2,,2
125,106,Berry College,Political Science,3.0,Chaitram Singh,3.4,50,N/A,,,,,,,2,,,,,,,,1,,,,,
126,106,Berry College,Sociology,2.3,Sarah Allred,4.2,49,60%,,1,,1,,1,,1,,1,,,4,,,,,,,
127,106,Berry College,Mathematics,4.0,Ron Taylor,3.3,48,29%,,,,2,,,2,,,,,,,6,5,1,1,,,5
128,106,Berry College,Biology,4.4,Michael Morgan,2.3,46,43%,2,2,,,,,1,1,,,,1,2,,,1,2,1,2,4
129,106,Berry College,Psychology,3.1,Victor Bissonnette,4.5,45,N/A,,,,1,1,1,3,,,,,,,,,,,,1,2
130,106,Berry College,English,3.0,Jim Watkins,4.5,45,N/A,,,3,4,,1,6,3,,,,,,1,1,1,,,,1
131,106,Berry College,Mathematics,2.8,Janna Johnson,3.5,45,46%,1,,,3,2,1,,1,,1,,,2,3,,,3,,1,2
132,106,Berry College,Psychology,2.8,Steven Bell,3.5,44,N/A,,,,1,,,,2,,,,,,,,,,,,2
133,106,Berry College,Anthropology,2.6,Anne Lewinson,3.8,44,60%,,,,1,,1,4,2,,1,,,,2,,1,,1,,2
134,106,Berry College,English,4.1,Michael Cooley,3.7,44,N/A,,,,,,,,,,,,,,,,,,,,
135,106,Berry College,English,4.1,Stephanie Batcos,2.7,43,N/A,,,,,,,,,,,,,,,,,,,,
136,108,Bethany College,Mathematics,4.1,John Murphy,3.0,12,N/A,,,,,,,,,,,,,,,,,,,,
137,108,Bethany College,Biology,2.6,Mark McDonald,4.8,7,N/A,1,,,,,,,,,1,,,,,,1,,,,
138,108,Bethany College,Music,3.0,Dan Mahraun,4.0,5,N/A,,,,,,,,,,,,,,,,,,,,
139,108,Bethany College,Music,2.3,Doug Talbott,3.9,4,N/A,,,,,,,,,,,,,,,,,,,,
140,108,Bethany College,Biology,1.3,Mark Kozubowski,2.0,3,N/A,,,,,,,,,,,,,,,,,,,,
